n_focals,k_add,cond,xeu,n_p,n_a,n_t,n_fod,n_focals2,belg_size,belg_time,proper_belg,dt_ok,dt_size,dt_time,dt_max_lg,ct_ok,ct_size,ct_time,ct_max_lg,tt_ok,tt_size,tt_time,tt_max_lg
5,2,dempster,TBEU,2,2;2,2,4,4,32,0.000654,True,None,80,0.001849,3,None,104,0.002248,3,None,32,0.000742,2,
5,2,dempster,TBEU,2,2;2,2,4,5,32,0.000626,True,None,200,0.004418,4,None,104,0.002333,3,None,32,0.000726,2,
5,2,dempster,TBEU,2,2;2,3,6,5,72,0.000639,True,None,184,0.003612,4,None,96,0.002102,3,None,48,0.001112,2,
5,2,dempster,TBEU,2,2;2,3,6,5,72,0.000609,True,None,240,0.004623,4,None,96,0.002120,3,None,48,0.001010,2,
5,2,dempster,TBEU,2,3;2,2,3,5,48,0.000472,True,None,258,0.004670,4,None,126,0.002351,3,None,36,0.000623,2,
5,2,dempster,TBEU,2,3;2,2,4,4,48,0.000494,True,None,354,0.005799,4,None,102,0.001026,3,None,48,0.000430,2,
5,2,dempster,TBEU,2,3;2,3,6,5,108,0.000362,True,None,522,0.004792,4,None,162,0.001547,3,None,72,0.000635,2,
5,2,dempster,TBEU,2,3;2,3,5,5,108,0.000358,True,None,498,0.004387,4,None,114,0.001210,3,None,60,0.000528,2,
5,2,dempster,TBEU,2,2;3,2,4,4,48,0.000293,True,None,228,0.002115,4,None,120,0.001192,3,None,48,0.000435,2,
5,2,dempster,TBEU,2,2;3,2,4,4,48,0.000293,True,None,222,0.002033,4,None,102,0.000989,3,None,48,0.000413,2,
5,2,dempster,TBEU,2,2;3,3,7,5,108,0.000354,True,None,432,0.004070,4,None,228,0.002332,3,None,84,0.000823,2,
5,2,dempster,TBEU,2,2;3,3,7,5,108,0.000403,True,None,396,0.003827,4,None,192,0.001878,3,None,84,0.000748,2,
5,2,dempster,TBEU,2,3;3,2,4,5,72,0.000292,True,None,522,0.004791,4,None,234,0.002045,3,None,72,0.000571,2,
5,2,dempster,TBEU,2,3;3,2,4,4,72,0.000296,True,None,504,0.005378,4,None,234,0.002063,3,None,72,0.000564,2,
5,2,dempster,TBEU,2,3;3,3,4,4,162,0.000450,False,None,810,0.007774,4,None,234,0.002040,3,None,72,0.000540,2,
